Sentence,Sentiment,Emotion,Hate-Speech,Sarcasm
భారత వికెట్‌ కీపర్లలో నాలుగో ఇన్నింగ్స్‌లో అత్యధిక పరుగులు చేసిన ఆటగాడిగా పంత్‌ రికార్డు స_x005F_x007f_ష్టిం చాడు.,pos,happy,no,no
"అనంతరం స్వల్ప వ్యవధిలో రాహుల్‌, పంత్‌ ఔటయ్యారు.",neg,sad,no,no
తరువాత వచ్చిన వారెవ్వరూ క్రీజులో నిలవలేకపోయవడంతో ఓటమి తప్పలేదు.,neg,sad,no,no
‘పీఎస్‌ఎల్‌’ నుంచి రిలయన్స్‌ ఔట్‌.,neg,sad,no,no
పుల్వామా ఉగ్రదాడి నేపథ్యంలో పాకిస్థాన్‌ సూపర్‌ లీగ్‌(పీఎస్‌ఎల్‌) క్రికెట్‌ ప్రసారాల నుంచి వైదొలుగుతున్నట్లు ఐఎంజీ రిలయన్స్‌ ప్రకటించింది.,neg,sad,no,no
దాడిని తీవ్రంగా ఖండించిన సంస్థ తక్షణమే పీఎస్‌ఎల్‌ ప్రసారాల నుంచి వైదొలుగుతున్నట్లు తెలిపింది.,neg,sad,no,no
అతడు మూడు నెలల పసిపిల్లాడిగా ఉన్నప్పుడే కుడి చెయ్యికి క్యాన్సర్‌ సోకింది.,neg,sad,no,no
వైద్యుల సూచన మేరకు శస్త్రచికిత్సలో భాగంగా ఆ చెయ్యి మణికట్టు నుంచి తొలగించారు.,neg,sad,no,no
దీంతో ఎడమచెయ్యి ఒక్కటే పూర్తిగా ఉంది.,neutral,sad,no,no
కుడి చెయ్యి లేకపోడంతో దివ్యాంగునిగా మారాడు.,neg,sad,no,no
"అతడు పెరిగే కొద్దీ తోటి విద్యార్థులు హేళన చేయడం, మానసికంగా బాధించడంతో అతడిలో కోపం పెరిగిపోయింది.",neg,angry,no,no
"చీటికీమాటికీ అందరితో గొడవలు పడటం, యుక్తవయసు వచ్చేసరికి వ్యసనాలకు అలవాడు పడ్డాడు.",neg,sad,no,no
ఆ గమనం వైపు వేసిన అడుగులు ఇప్పుడతడిని విజేతగా నిలబెట్టాయి.,pos,happy,no,no
ఎంతటి దుర్భర జీవితం అనుభవించాడో ఇప్పుడంతటి విజేతగా మారాడు.,pos,happy,no,no
"ఒక అందమైన అమ్మాయిని చూస్తే,మొదటి చూపులోనే ప్రేమ ఎలా పుడుతుందో అలానే నేను కూడా బాక్సింగ్‌తో ప్రేమలో పడ్డాను.",pos,happy,no,no
అనంతరం రెండో మ్యాచ్‌లో ఓడిపోయి తీవ్ర గాయాలపాలయ్యాడు.,neg,sad,no,no
మరోవైపు కాలికి గాయం కారణంగా మిగతా రెండు వన్డేల్లో పేసర్‌ షమీకి కూడా విశ్రాంతినిచ్చే అవకాశం ఉంది.,neg,sad,no,no
ఇదిలా ఉండగా శుక్రవారం నాటి మ్యాచ్‌లో వెస్టిండీస్‌ ఓపెనర్‌ తాను ఎదుర్కొన్న తొలి 15 బంతుల వరకు ఒక్క పరుగు కూడా చేయలేకపోయాడు.,neg,sad,no,no
గాయంతోనే భారీ షాట్లు ఆడా.,pos,happy,no,no
మహిళల టీ20 ప్రపంచకప్‌లో న్యూజిలాండ్‌తో జరిగిన తొలి మ్యాచ్‌లో హర్మన్‌ ప్రీత్‌ సేన 34పరుగుల తేడాతో ఘనవిజయం సాధించిన సంగతి తెలిసిందే.,pos,happy,no,no
అయితే భారీ షాట్లు ఆడటానికి కారణం తెలుపుతూ… ‘మ్యాచ్‌కు ముందు రోజు కడుపు నొప్పితో కాస్త ఇబ్బంది పడ్డాను.,neg,sad,no,no
"ఫిజియో వచ్చి చికిత్స చేసిన అనంతరం ఎక్కువసేపు పరిగెత్తితే,నొప్పి తీవ్రత పెరిగే అవకాశం ఉందని పేర్కొన్నారు.",neg,sad,no,no
ఒకవేళ మేము 150 పరుగులకే పరిమితమైతే మ్యాచ్‌ గెలవలేము అని నిర్ణయించుకున్నాం.,neg,sad,no,no
పసికూన ఆఫ్ఘనిస్థాన్‌ను ఓ ఆటాడేసుకుంది.,neg,sad,no,no
ఓల్డ్‌ ట్రాఫెడ్‌లో సిక్సర్ల మోత మోగించాడు.,pos,happy,no,no
71 బంతుల్లోనే 148 పరుగుల భారీ శతకం చేశాడు.,pos,happy,no,no
తాజాగా అఫ్గాన్‌తో మ్యాచ్‌లో మోర్గాన్‌ ఈరికార్డును అధిగమించి అగ్రస్థానాన్ని దక్కించుకున్నాడు.,pos,happy,no,no
అనంతరం 164 పరుగులు జట్టు స్కోరు వద్ద బెయిర్‌ స్టో(90) ఔటై శతకాన్ని చేజార్చుకున్నాడు.,neg,sad,no,no
వస్తూనే ఆఫ్ఘన్‌ బౌలర్లపై మోర్గాన్‌ విరుచుకు పడ్డాడు.,neg,angry,no,no
అత్యంత చెత్త రికార్డ.,neg,sad,yes,no
అయితే ఎవ్వరూ ఉహించని చెత్త రికార్డును రషీద్‌ ఖాన్‌ మూటగట్టుకున్నాడు.,neg,sad,yes,no
వన్డే వరల్డ్‌కప్‌లో భాగంగా మంగళవారం ఇంగ్లండ్‌తో జరుగుతున్న మ్యాచ్‌లో రషీద్‌ ఖాన్‌ చెత్త గణాంకాలు నమోదు చేశాడు.,neg,sad,yes,no
మరొ కవైపు వన్డే క్రికెట్‌లో అత్యధిక పరుగులు సమ ర్పించుకున్న అఫ్గాన్‌ బౌలర్‌ చెత్త రికార్డును సొంతం చేసుకున్నాడు.,neg,sad,no,no
రెండో టెస్టులో రెండు ఇన్నింగ్స్‌లు కలిపి పది వికెట్లు తీసి ఉమేశ్‌ యాదవ్‌ జట్టు విజయంలో కీలకపాత్ర పోషించాడు.,pos,happy,no,no
ఇప్పటివరకూ భారత్‌ తరపున ఏడుగురు మాత్రమే ఈ ఘనత సాధించారు.,pos,happy,no,no
హైదరాబాద్‌ టెస్ట్‌ తొలి ఇన్నింగ్స్‌లో ఆరు వికెట్లు తీసిన ఉమేశ్‌ రెండో ఇన్నింగ్స్‌లో నాలుగు వికెట్లతో వెస్టిండీస్‌ టాపార్డర్‌ను కుప్పకూల్చాడు.,neg,sad,no,no
ఐపీఎల్‌ ఆత్మవిశ్వాసం పెంచింది : రాహుల్‌.,pos,happy,no,no
తన ఆటతీరుపై రాహుల్‌ స్పందిస్తూ ‘ప్రపంచ కప్‌ మెగాటోర్నీలో ఆడుతున్నందుకు సంతోషంగా ఉంది.,pos,happy,no,no
కానీ నా జీవితంలో కొన్ని చేదు జ్ఞాపకాలు(కరణ్‌ జోహార్‌ షోను ఉద్దేశించి) ఉన్నాయి.,neg,sad,no,no
భారత్‌ హ్యాట్రిక్‌.,pos,happy,no,no
తమ జట్టు ఐసీసీ టెస్ట్‌ ర్యాంకింగ్స్‌లో రెండో స్థానంలో నిలవడం నిజంగా అద్భుతమని విలియమ్సన్‌ ఆనందం వ్యక్తం చేశాడు.,pos,happy,no,no
ఈ సందర్భంగా టీమిండియా కెప్టెన్‌ విరాట్‌ కోహ్లి సంతోషం వ్యక్తం చేస్తూ ‘మరోసారి ఐసీసీ టెస్టు ఛాంపియన్‌షిప్‌ను సొంతం చేసుకోవడం ఎంతో గర్వంగా ఉంది.,pos,happy,no,no
"కాగా, రెండేళ్లుగా రెండో స్థానంలో కొనసాగిన దక్షిణాఫ్రికా జట్టు ఈసారి 105 పాయింట్లతో మూడో స్థానానికి పడిపోయింది.",neg,sad,no,no
ఈ సందర్భంగా ఐసీసీ చీఫ్‌ ఎగ్జిక్యూటివ్‌ మను టీమిండియాను అభినందించారు.,pos,happy,no,no
యు-16 ఓడినా.. ప్రేక్షకాభినందన.,pos,happy,no,no
గతంలో కూడా కొరియాపైనే ఇదే స్టేడియంలో ఓడిపోయింది.,neg,sad,no,no
నెహ్రాపై అభిమానుల ఫైర్‌.,neg,sad,yes,no
ముంబై : ఇప్పటికే వరుస ఓటములతో ఆత్మవి శ్వాసం సన్నగిల్లిన రాయల్‌ ఛాలెంజర్స్‌ జట్టుకు మరో ఓటమి ఎదురైంది.,neg,sad,no,no
దీంతో ఆ జట్టు ప్లేఆఫ్‌ అవకాశాలు దాదాపు దూరమయ్యాయి.,neg,sad,no,no
ఆర్సీబీ ఆడిన ఎనిమిది మ్యాచుల్లో ఏడు ఓడింది.,neg,sad,no,no
మళ్లీ ఓటమి నిరాశ మిగిల్చింది.,neg,sad,no,no
అయితే ఈ మ్యాచులో గెలవాల్సిన సమయంలో తప్పుడు నిర్ణయంతో ఓడిపోవాల్సి వచ్చింది.,neg,sad,no,no
దీంతో ఆ జట్టు బౌలింగ్‌ కోచ్‌ ఆశిష్‌ నెహ్రాపై బెంగళూరు అభిమానులు మండిపడుతున్నారు.,neg,angry,no,no
టాపర్‌ను కూడా ఫెయిల్‌ చేస్తాడు.,neg,sad,no,no
ఆశిష్‌ నిర్ణయంపై అభిమానులు మండిపడుతున్నారు.,neg,angry,no,no
140 కి మీ వేగంతో బౌలింగ్‌ వేసే నవదీప్‌ సైనీకి బౌలింగ్‌ ఇచ్చి ఉంటే బ్యాట్స్‌మెన్‌ కొంత ఇబ్బంది పడేవారని అంటున్నారు.,neg,sad,no,no
ఈ మ్యాచ్‌లో బెంగళూరు ఓడిపోవడానికి ప్రధాన కారణం ఆశిష్‌ నెహ్రానే అంటున్నారు.,neg,sad,no,no
ఆర్సీబీ గెలవాల్సిన మ్యాచ్‌లో ఓడిపోవడంతో తట్టుకోలేని అభిమానులు సోషల్‌ మీడియాలో నెహ్రాపై వ్యంగ్యాస్త్రాలు విసురుతున్నారు.,neg,sad,no,no
టీ20 వరల్డ్‌కప్‌ కెప్టెన్‌గా హర్మన్‌.,pos,happy,no,no
లండన్‌లోనూ ధోనీ ఫీవర్‌.,neg,sad,no,no
కివీస్‌తో జరిగిన వార్మప్‌ మ్యాచ్‌లో టీమిండియా తడబడింది.,neg,sad,no,no
"టాప్‌, మిడిలార్డర్‌ బ్యాట్స్‌మెన్‌ కుదేలవడంతో 179 పరుగులకే కుప్పకూలింది.",neg,sad,no,no
తర్వాత టీమిండియా కట్టుదిట్టంగా బౌలింగ్‌ చేసినప్పటికీ కివీస్‌ను నిలువరించలేకపోయింది.,neg,sad,no,no
ప్రపంచకప్‌ ముందు టీమిండియాకు కివీస్‌ ఓ హెచ్చరిక పంపినట్లైంది.,neg,angry,no,no
"ఆరుసార్లు సెమీస్‌, ఒకసారి ఫైనల్‌ చేరినా ప్రపంచకప్‌ను మాత్రం అందుకోలేకపోయింది.",neg,sad,no,no
అశ్వినీ నాచప్ప కోచ్‌ కన్నుమూత.,neg,sad,no,no
"బెంగళూరు : సీనియర్‌ అథ్లెటిక్స్‌ కోచ్‌, ప్రతిష్ఠాత్మక ద్రోణాచార్య అవార్డు గ్రహీత ఎన్‌ లింగప్ప (95) కన్నుమూశారు.",neg,sad,no,no
బెంగళూరులోని తన నివాసంలో ఆయన మంగళవారం మధ్యాహ్నం తుదిశ్వాస విడిచారు.,neg,sad,no,no
"ఆయనకు ఎలాంటి అనారోగ్యం లేదని, వ_x005F_x007f_ద్ధాప్యం కారణంగా లింగప్ప కన్నుమూసినట్లు కుటుంబ సభ్యులు తెలిపారు.",neg,sad,no,no
అదే ఏడాది ఢిల్లీలో నిర్వహించిన తొలి నేషనల్‌ గేమ్స్‌లో 10 కిలోమీటర్ల వాకథాన్‌లో వెండి పతకాన్ని సాధించారు.,pos,happy,no,no
క్రీడా రంగానికి లింగప్ప చేసిన సేవలను ద_x005F_x007f_ష్టిలో ఉంచుకుని కేంద్ర ప్రభుత్వం ఆయనను ద్రోణాచార్య అవార్డుతో సత్కరించింది.,pos,happy,no,no
ఆయన మరణంపై కర్ణాటక ముఖ్యమంత్రి కుమారస్వామి సంతాపాన్ని వ్యక్తం చేశారు.,neg,sad,no,no
గాయం పూర్తిగా మానక పోవచ్చు.,neg,sad,no,no
ఢాకా: బంగ్లాదేశ్‌ స్టార్‌ ఆల్‌రౌండర్‌ షకీబుల్‌ హసన్‌ గాయం కారణంగా అర్ధాంతరంగా ఆసియా కప్‌ నుంచి వైదోలిగిన విషయం తెలిసిందే.,neg,sad,no,no
"సర్జరీ తరువాత అతడి గాయానికి ఇఫెష్కన్‌ సోకిందని, మరలా ఆస్ట్రేలియాలో మరో సర్జరీకి వెళ్తుతున్నానని, రెండో సర్జరీ ఎప్పుడు చేస్తారో తెలియదని, సర్జరీ చేస్తే అది చేతికే ప్రమాదకరంగా మారుతోందని, తన వేలి గాయం 100 శాతం నయం కాకపోవచ్చునని’ అని తెలిపాడు.",neg,sad,no,no
"""సియోల్‌: భారత స్టార్‌ షట్లర్‌ సైనా నెహ్వాల్‌ కొరియా ఓపెన్‌ తొలి రౌండ్‌లో విజయం సాధించి ప్రీ క్వార్టర్స్‌లో అడుగుపెట్టింది.",pos,happy,no,no
"మరో మహిళల సింగిల్స్‌లో వైష్ణవీ రెడ్డి అమెరికాకు చెందిన బీవెన్‌ జ్యాంగ్‌ చేతిలో 21-10, 21-9 తేడాతో ఓడిపోయింది.",neg,sad,no,no
"ఇక పురుషుల సింగిల్స్‌లో సమీర్‌ రెడ్డి డెన్మార్క్‌కు చెందిన అన్‌డర్స్‌ అన్‌టోన్‌సన్‌ చేతిలో 15-21, 21-16, 21-7 మూడు సెట్లలో పోరాడి ఓడాడు.",neg,sad,no,no
తొలిసెట్‌ను 15-21తో గెలుచుక్ను సమీర్‌ తరువాత ఆ జోరును కొనసాగించలేక పోయాడు.,neg,sad,no,no
రెండో సెట్‌ను 21-16తో ఓడాడు.,neg,sad,no,no
"ఈ ఓపెన్‌కు సింధు, శ్రీకాంత్‌ వంటి అగ్ర క్రీడాకారులు విశ్రాంతి కారణంగా దూరమైన విషయం తెలిసిందే.",neg,sad,no,no
కొలంబో: శ్రీలంక క్రికెట్‌ బోర్డు ప్రస్తుతం గడ్డు కాలాన్ని ఎదుర్కొంటోంది.,neg,sad,no,no
"విశాలాంధ్ర స్పోర్ట్స్‌ డెస్క్‌ : హైదరాబాద్‌ ఫ్రాంచైజీ డెక్కన్‌ చార్జర్స్‌ జట్టు 2009 ఐపీఎల్‌ టైటిల్‌ గెలి చిన రెండో జట్టుగా చరిత్ర సృష్టించినా, తరువాతి క్రమంగా ప్రభ కోల్పోయి మొ త్తంగా కనుమరుగైంది.",neg,sad,no,no
"ప్రతిభ ఆ జట్టు సొంతం.
",pos,happy,no,no
"సన్‌ రైజర్స్‌ ఆరంభమైన 2013 నాటి నుంచి మంచి విజయాలు సాధిస్తూ, అభి మానులు హృదయాలు గెలుచుకుంటూ వచ్చింది.",pos,happy,no,no
ఇక మరో ప్రధాన ఆటగాడు శిఖర్‌ ధావన్‌ జుట్టును వీడడం ఓపెనింగ్‌ సమస్య కానుంది.,neg,sad,no,no
బౌలింగ్‌ బలంగా ఉన్నా సన్‌ రైజర్స్‌ బ్యాటింగ్‌లో ఎక్కువగా టాప్‌ 3 ఆటగాళ్లపై ఆధారపడడం సమస్యగా మారుతోంది.,neg,sad,no,no
బలమైన విదేశీ పేస్‌ బౌలర్‌ లేకపోవడం ఒక సమస్య.,neg,sad,no,no
"ఇబ్బందులు ఉన్నా,సమష్టిగా రాణించే తత్వం జట్టుకు విజయాలు అందిస్తూ వచ్చింది.",pos,happy,no,no
కోహ్లి మరో రికార్డు.,pos,happy,no,no
మెల్‌బోర్న్‌: రికార్డుల రారాజు టీమిండియా సారథి విరాట్‌ కోహ్లి టెస్టు కెరీర్‌లో మరో అరుదైన ఘనతను అందుకున్నాడు.,pos,happy,no,no
82 పరుగుల వ్యక్తిగత స్కోర్‌ వద్ద ఔటయ్యాడు.,neg,sad,no,no
ఈ సిరీస్‌ను పాక్‌ 1-0 తేడాతో గెలుచుకుంది.,pos,happy,no,no
తమిళనాడుకు చెందిన ఓ అనామక ఆటగాడు రూ 8:4 కోట్లకు అమ్ముడుపోయాడు.,neg,sad,no,no
ఇప్పటి వరకూ ఐపీఎల్‌లో అడుగుపెట్టని చక్రవర్తి అరంగ్రేటం ఘనంగా జరిగింది.,pos,happy,no,no
సిడ్నీ: ఆస్ట్రేలియా ఆల్‌రౌండర్‌ జాన్‌ హేస్టింగ్స్‌ విచిత్ర వ్యాధి కారణంగా క్రికెట్‌లో అన్ని రకాల ఫార్మాట్‌ల నుంచి తప్పుకుంటున్నట్లు ప్రకటించాడు.,neg,sad,no,no
బౌలింగ్‌ చేస్తున్న సమయంలో ఊపిరితిత్తుల్లో రక్తస్రావం జరుగుతోందనే కారణంతో పూర్తిగా క్రికెట్‌కు వీడ్కోలు పలుకుతున్నట్లు పేర్కొన్నాడు.,neg,sad,no,no
అయినప్పటికీ దీని విషయంలో సరైన కారణమేమిటో తెలియలేదు.,neutral,sad,no,no
ఒకవేళ నేను ఇలాగే బౌలింగ్‌ చేస్తుంటే దీని తీవ్రత మరింత పెరిగి అది మరణానికే దారి తీసే అవకాశం ఉంది.,neg,sad,no,no
ఉమర్‌ అక్మల్‌పై ఐసీసీ విచారణ.,neg,sad,no,no
ముంబైకి ‘సూర్యో’దయం.,pos,happy,no,no
మొదటి ఓవర్‌లోనే అడ్డంకి.,neg,sad,no,no
ఓ భారీ షాట్‌కు యత్నించిన డీకాక్‌(4) చాహర్‌ బౌలింగ్‌లో లెగ్‌సైడ్‌లో ఉన్న కేదావ్‌ జాదవ్‌కు దొరికిపోయాడు.,neg,sad,no,no
వన్‌డౌన్‌ బ్యాట్స్‌మన్‌గా వచ్చిన సూర్యకుమార్‌ యాదవ్‌ చెన్నై బౌలర్లపై విరుచుకుపడ్డాడు.,neg,angry,no,no
బౌండరీలతో హోరెత్తించాడు.,pos,happy,no,no
జడేజా బౌలింగ్‌కు వచ్చిన తరువాత ఓ అద్భుతమైన ఫ్లైట్‌ డెలివరీకి రోహిత్‌ (13) ధోనీకి క్యాచ్‌ ఇచ్చి వెనుదిరిగాడు.,neg,sad,no,no
"సెకండ్‌డౌన్‌ దిగిన యువరాజ్‌సింగ్‌పై ఆశలు పెట్టుకు ముంబై, చివరకు ఉసూరుమనిపించాడు.",neg,sad,no,no
వీరిద్దరూ కలిసి భారీ షాట్లు కొడుతూ స్కోరు పరుగులు పెట్టించారు.,pos,happy,no,no
"మంచి ఊపుమీదున్న తరుణంలో కృనాల్‌ పాండ్య(42, 32 బంతులు 4×5, 1×6)ను మోహిత్‌ శర్మ బోల్తా కొట్టించాడు.",neg,sad,no,no
రవీంద్ర జడేజాకు క్యాచ్‌ ఇచ్చి కృనాల్‌ వెనుదిరిగాడు.,neg,sad,no,no
"తరవాత క్రీజులోకి వచ్చిన పోలార్డ్‌ (17నాటౌట్‌, 7 బంతులు 2×6), హార్దిక్‌ పాండ్య (25 నాటౌట్‌, 8 బంతులు, 1×4, 3×6) చివర్లో మెరుపులు మెరిపించడంతో ముంబైకి గౌరవప్రదమైన స్కోరు దక్కింది.",pos,happy,no,no
ఈ అవకాశంపై లక్ష్మీ మాట్లాడుతూ ‘అంతర్జాతీయ రిఫరీగా ఎంపిక చేడయం గౌరవంగా భావిస్తున్నాను.,pos,happy,no,no
చాలా నేర్చుకున్నాం : శ్రేయస్‌.,pos,happy,no,no
"విశాఖపట్నం: పేరు మారినా రాత మారునా అన్న అనుమానాలతో సీజన్‌ బరిలో దిగిన ఢిల్లీ క్యాపి టల్స్‌ యువ జట్టు, ఆ అనుమానాలను తప్పని తేలుస్తూ ప్లేఆఫ్స్‌ చేరింది.",neg,sad,no,no
అయితే ఫైనల్‌కు ఒక్క అడుగు దూరంలో వెనుదిరిగింది.,neutral,sad,no,no
"రెండో క్వాలిఫయర్లో చెన్నై సూపర్‌ కింగ్స్‌ చేతిలో ఓడి టోర్నీ నుంచి నిష్క్రమించడంతో, ఒక్కసారి కూడా ఫైనల్‌ చేరుకోని జట్టుగానే మిగిలిపోయింది.",neg,sad,no,no
"శ్రేయస్‌ అయ్యర్‌ ఓటమిపై మాట్లాడుతూ ‘ఒకప్పుడు ధోనీ, కోహ్లి, రోహిత్‌శర్మతో కలిసి మ్యాచ్‌ లు ఆడితే చాలు అనుకునేవాడిని, అలాంటిది వాళ్లతో పాటు కెప్టెన్‌గా టాస్‌లో పాల్గొనే అవకాశం రావడం మరిచిపోలేని అనుభూతి.",neutral,happy,no,no
"మా జట్టు యాజమాన్యం సైతం కెప్టెన్‌గా నాకు ఇవ్వాల్సిన గౌరవం, మద్దతు విషయంలో ఏలోటూ చేయలేదు.",neutral,happy,no,no
చెన్నైతో మ్యాచ్‌లో అనుకున్నంత లక్ష్యం నిర్దేశిం చలేకపోయాం.,neutral,sad,no,no
పవర్‌ప్లేలోనూ మంచి ఆరంభం లభించలేదు.,neg,sad,no,no
స్పిన్నర్ల బౌలింగ్‌లో పరుగులు రాబట్ట లేకపోయాం.,neg,sad,no,no
అయితే మా జట్టులో ఏ ఒక్కరూ బాధ్యత తీసుకోలేదు.,neg,sad,no,no
భాగస్వామ్యాలు నెలకొల్పడంలో పూర్తిగా విఫలమయ్యాం.,neg,sad,no,no
ఈ సీజన్‌ నుంచి ఎంతో నేర్చుకున్నాం’ అని తెలిపాడు.,neutral,happy,no,no
ఇంగ్లండ్‌ పర్యటనలో ఐదు వన్డే సిరీస్‌లో భాగంగా జరిగిన మూడో వన్డేలో భారీ స్కోరులు నమోదుకాగా చివరికి ఇంగ్లండ్‌ ఆరు వికెట్లతేడాతో విజయం సాధించింది.,pos,happy,no,no
అయితే ఇంగ్లండ్‌ కెప్టెన్‌ ఇయాన్‌ మోర్గాన్‌ స్లొ ఓవర్‌ రేట్‌ కారణంగా ఒక వన్డే సస్పెన్షన్‌కు గురయ్యాడు.,neg,sad,no,no
ఐపీఎల్‌తో ఆట మెరుగు.,pos,happy,no,no
ఆటతీరు మెరుగుపడటంలో ఐపీఎల్‌ ఎంతో ఉపయోగపడిందని శతకంతో అదరగొట్టిన బెయిర్‌స్టో అన్నాడు.,pos,happy,no,no
