Sentence,Sentiment,Emotion,Hate-Speech,Sarcasm
ఆసీస్‌తో జరుగుతున్న మూడో టెస్టులో కోహ్లిసేన ఆధిక్యంలో కొనసాగుతోంది.,pos,happy,no,no
మ్యాచ్‌లో తొలి రెండు రోజుల్లో టీమిండియా క్రికెటర్లపై కొందరు విద్వేష నినాదాలు చేశారని క్రికెట్‌ ఆస్ట్రేలియాకు ఫిర్యాదులు అందాయి.,neg,no,no,no
అభిమానులు తమ ప్రవర్తనను అదుపులో ఉంచుకోవాలని క్రికెట్‌ ఆస్ట్రేలియా సూచించింది.,neg,angry,no,no
ప్రవేశ నిబంధనల ప్రకారం పద్ధతిగా నడుచుకోవాలని హెచ్చరించారు’ అని సీఏ అధికార ప్రతినిధి తెలిపారు.,neg,angry,no,no
టీమిండియా సారథి విరాట్‌ కోహ్లి తొలి ఇన్నింగ్స్‌లో 82 పరుగుల వద్ద ఔటైనప్పుడు ఇలాగే అసభ్యకరంగా నినాదాలు వినిపించాయి.,neg,sad,yes,no
భారత క్రికెటర్లనే కాక వారి సొంత ఆటగాళ్లనూ హేళన చేశారు.,neg,sad,yes,no
ఆస్ట్రేలియా జట్టులో పీటర్‌ హ్యాండ్స్‌కాంబ్‌ స్థానంలో తుది జట్టులోకి ఎంపికైన మిచెల్‌ మార్ష్‌ను సైతం అభిమానులు ఇలాగే అవమానించారు.,neg,sad,yes,no
ఆతిథ్య ఇంగ్లండ్‌తో జరుగుతోన్న చివరి టెస్టులో భారత్‌ ఓటమిపాలైంది.,neg,sad,no,no
ఐదోరోజు ఆట ప్రారంభమైన కొద్ది సేపటికే రాహుల్‌ అర్ధశతకాన్ని తన ఖాతాలో వేసుకున్నాడు.,pos,no,no,no
వీలు చిక్కినప్పుడల్లా బౌండరీలు బాదుతూ స్కోరు బోర్డును కదిలిస్తున్నాడు కేఎల్‌ రాహుల్‌.,pos,no,no,no
ఈ తరుణంలో భారత్‌ స్వల్ప వ్యవధిలో రెండు కీలక వికెట్లు కోల్పోయింది.,neg,sad,no,no
ఆచితూచి నెమ్మదిగా ఆడుతోన్న రహానె(37)ను మొయిన్‌ అలీ బోల్తా కొట్టించాడు.,neg,sad,no,no
దీంతో కేఎల్‌ రాహుల్‌-రహానె భాగస్వామ్యానికి తెరపడినట్లైంది.,neg,sad,no,no
37వ ఓవర్లో స్టోక్స్‌ వేసిన నాలుగో బంతిని ఎదుర్కొన్న విహారి వికెట్‌ కీపర్‌ బెయిర్‌స్టోకు క్యాచ్‌ ఇచ్చి ఔటయ్యాడు.,neg,sad,no,no
6 బంతులు ఎదుర్కొన్న విహారి ఒక్క పరుగు కూడా చేయలేదు.,neg,sad,no,no
ఈక్రమంలోనే క్రీజులోకి అడుగుపెట్టిన యువ వికెట్‌ కీపర్‌ రిషబ్‌ పంత్‌ చెలరేగి ఆడాడు.,pos,no,no,no
వన్డే తరహాలో బ్యాటింగ్‌ చేసిన పంత్‌ అదే ఊపులో శతకం బాదేశాడు.,pos,no,no,no
అదీ భారీ సిక్సర్‌తో కావడం ప్రత్యేకం.,pos,no,no,no
దీంతో టెస్టుల్లో ఎంఎస్‌ ధోనీ రికార్డు బద్దలు కొట్టాడు.,pos,no,no,no
భారత వికెట్‌ కీపర్లలో నాలుగో ఇన్నింగ్స్‌లో అత్యధిక పరుగులు చేసిన ఆటగాడిగా పంత్‌ రికార్డు స_x005F_x007f_ష్టిం చాడు.,pos,happy,no,no
"అనంతరం స్వల్ప వ్యవధిలో రాహుల్‌, పంత్‌ ఔటయ్యారు.",neg,sad,no,no
తరువాత వచ్చిన వారెవ్వరూ క్రీజులో నిలవలేకపోయవడంతో ఓటమి తప్పలేదు.,neg,sad,no,no
‘పీఎస్‌ఎల్‌’ నుంచి రిలయన్స్‌ ఔట్‌.,neg,sad,no,no
పుల్వామా ఉగ్రదాడి నేపథ్యంలో పాకిస్థాన్‌ సూపర్‌ లీగ్‌(పీఎస్‌ఎల్‌) క్రికెట్‌ ప్రసారాల నుంచి వైదొలుగుతున్నట్లు ఐఎంజీ రిలయన్స్‌ ప్రకటించింది.,neg,sad,no,no
దాడిని తీవ్రంగా ఖండించిన సంస్థ తక్షణమే పీఎస్‌ఎల్‌ ప్రసారాల నుంచి వైదొలుగుతున్నట్లు తెలిపింది.,neg,sad,no,no
అతడు మూడు నెలల పసిపిల్లాడిగా ఉన్నప్పుడే కుడి చెయ్యికి క్యాన్సర్‌ సోకింది.,neg,sad,no,no
వైద్యుల సూచన మేరకు శస్త్రచికిత్సలో భాగంగా ఆ చెయ్యి మణికట్టు నుంచి తొలగించారు.,neg,sad,no,no
కుడి చెయ్యి లేకపోడంతో దివ్యాంగునిగా మారాడు.,neg,sad,no,no
"అతడు పెరిగే కొద్దీ తోటి విద్యార్థులు హేళన చేయడం, మానసికంగా బాధించడంతో అతడిలో కోపం పెరిగిపోయింది.",neg,angry,no,no
"చీటికీమాటికీ అందరితో గొడవలు పడటం, యుక్తవయసు వచ్చేసరికి వ్యసనాలకు అలవాడు పడ్డాడు.",neg,sad,no,no
ఆ గమనం వైపు వేసిన అడుగులు ఇప్పుడతడిని విజేతగా నిలబెట్టాయి.,pos,happy,no,no
ప్రపంచంలో ఒకే ఒక్క చేయి కలిగిన ప్రొఫెషనల్‌ బాక్సర్‌.,pos,no,no,no
ఎంతటి దుర్భర జీవితం అనుభవించాడో ఇప్పుడంతటి విజేతగా మారాడు.,pos,happy,no,no
"ఒక అందమైన అమ్మాయిని చూస్తే,మొదటి చూపులోనే ప్రేమ ఎలా పుడుతుందో అలానే నేను కూడా బాక్సింగ్‌తో ప్రేమలో పడ్డాను.",pos,happy,no,no
టీవీలో బాక్సింగ్‌ చూడటమంటే నాకు చాలా ఇష్టం.,pos,no,no,no
దాదాపు మూడు వేల మంది వీక్షకుల మధ్య జరిగిన తొలిపోరులోనే చరిత్ర స_x005F_x007f_ష్టించాడు.,pos,no,no,no
అనంతరం రెండో మ్యాచ్‌లో ఓడిపోయి తీవ్ర గాయాలపాలయ్యాడు.,neg,sad,no,no
తిరిగి రెండున్నరేళ్లు బాక్సింగ్‌కు దూరంగా ఉండాల్సి వచ్చింది.,neg,no,no,no
నాలాంటి వారికి శిక్షణ ఇచ్చి వారిలోని వైకల్యాన్ని మరిచిపోయి విజేతలుగా మార్చాలన్నదే నా ఆశ.,pos,no,no,no
విజయమే నిన్ను వరిస్తుంది” అని తన విజయ గాధను తెలియజేశాడు వాగ్గెలిస్‌.,pos,no,no,no
ఈ రెండు మ్యాచుల్లో ధోనీ ఆడడు.,neg,no,no,no
మరోవైపు కాలికి గాయం కారణంగా మిగతా రెండు వన్డేల్లో పేసర్‌ షమీకి కూడా విశ్రాంతినిచ్చే అవకాశం ఉంది.,neg,sad,no,no
ఇంగ్లండ్‌పై క్రిస్‌గేల్‌ సరికొత్త రికార్డు.,pos,no,no,no
దీంతో ప్రపంచకప్‌ ఆతిథ్య జట్టుపై వన్డేల్లో అత్యధిక పరుగులు సాధించిన క్రికెటర్‌గా తొలి స్థానంలో నిలిచాడు.,pos,no,no,no
దీంతో ఇంగ్లండ్‌పై వెస్టిండీస్‌ తరపున దిగ్గజ క్రికెటర్‌ వీవ్‌ రిచర్డ్స్‌ పేరిట ఉన్న అత్యధిక పరుగుల రికార్డును సుడిగేల్‌ అధిగమించాడు.,pos,no,no,no
ఇదిలా ఉండగా శుక్రవారం నాటి మ్యాచ్‌లో వెస్టిండీస్‌ ఓపెనర్‌ తాను ఎదుర్కొన్న తొలి 15 బంతుల వరకు ఒక్క పరుగు కూడా చేయలేకపోయాడు.,neg,sad,no,no
అనంతరం అతడి బౌలింగ్‌లోనే రెండు ఫోర్లు కొట్టి జోరు పెంచాడు.,pos,no,no,no
గాయంతోనే భారీ షాట్లు ఆడా.,pos,happy,no,no
మహిళల టీ20 ప్రపంచకప్‌లో న్యూజిలాండ్‌తో జరిగిన తొలి మ్యాచ్‌లో హర్మన్‌ ప్రీత్‌ సేన 34పరుగుల తేడాతో ఘనవిజయం సాధించిన సంగతి తెలిసిందే.,pos,happy,no,no
అయితే భారీ షాట్లు ఆడటానికి కారణం తెలుపుతూ… ‘మ్యాచ్‌కు ముందు రోజు కడుపు నొప్పితో కాస్త ఇబ్బంది పడ్డాను.,neg,sad,no,no
మ్యాచ్‌ ఆరంభానికి ముందు కూడా నొప్పిగానే అనిపించింది.,neg,no,no,no
ఇక మైదానంలోకి వచ్చాక పరుగులు తీయడం ఆరంభించిన తర్వాత ఒక్కసారిగా కడుపు వద్ద కండరాలు పట్టేశాయి.,neg,no,no,no
"ఫిజియో వచ్చి చికిత్స చేసిన అనంతరం ఎక్కువసేపు పరిగెత్తితే,నొప్పి తీవ్రత పెరిగే అవకాశం ఉందని పేర్కొన్నారు.",neg,sad,no,no
అదే జోరు చివరి దాకా కొనసాగించాను.,pos,no,no,no
ఈ క్రమంలో నేను ఎన్ని పరుగులు తీస్తున్నా అనే విషయం పట్టించుకోకుండా గెలవడానికి ఎన్ని పరుగులు కావాలో అనే విషయమే ఆలోచించాను.,pos,no,no,no
ఒకవేళ మేము 150 పరుగులకే పరిమితమైతే మ్యాచ్‌ గెలవలేము అని నిర్ణయించుకున్నాం.,neg,sad,no,no
కారణం వారి జట్టులో అత్యుత్తమ క్రీడాకారులు ఉన్నారు.,pos,no,no,no
పసికూన ఆఫ్ఘనిస్థాన్‌ను ఓ ఆటాడేసుకుంది.,neg,sad,no,no
ఓల్డ్‌ ట్రాఫెడ్‌లో సిక్సర్ల మోత మోగించాడు.,pos,happy,no,no
71 బంతుల్లోనే 148 పరుగుల భారీ శతకం చేశాడు.,pos,happy,no,no
36 బంతుల్లో అర్థ శతకం పూర్తి చేసుకున్న మోర్గాన్‌ మరో 21 బంతుల్లోనే శతకం పూర్తి చేసుకున్నాడు.,pos,no,no,no
దీంతో పరిమిత ఓవర్ల క్రికెట్‌లో ఓ మ్యాచ్‌లో అత్యధిక సిక్స్‌లు సాధించిన క్రికెటర్‌గా మోర్గాన్‌ నిలిచాడు.,pos,no,no,no
తాజాగా అఫ్గాన్‌తో మ్యాచ్‌లో మోర్గాన్‌ ఈరికార్డును అధిగమించి అగ్రస్థానాన్ని దక్కించుకున్నాడు.,pos,happy,no,no
9వ ఓవర్లో జట్టు స్కోరు 44 పరుగుల వద్ద విన్సీ(26) తొలి వికెట్‌గా వెనుతిరిగాడు.,neg,no,no,no
అనంతరం 164 పరుగులు జట్టు స్కోరు వద్ద బెయిర్‌ స్టో(90) ఔటై శతకాన్ని చేజార్చుకున్నాడు.,neg,sad,no,no
ఆపై మోర్గాన్‌-జోరూట్‌లు స్కోరు బోర్డును పరుగులు పెట్టించారు.,pos,no,no,no
వస్తూనే ఆఫ్ఘన్‌ బౌలర్లపై మోర్గాన్‌ విరుచుకు పడ్డాడు.,neg,angry,no,no
మరొకవైపు జో రూట్‌ నెమ్మదించాడు.,neg,no,no,no
మోర్గాన్‌ బ్యాటింగ్‌కు ప్రత్యర్థి బౌలర్ల వద్ద సమాధానమే లేకుండా పోయింది.,neg,no,no,no
"తర్వాత తక్కువ పరుగుల తేడాతోనే బట్లర్‌(2), స్టోక్స్‌(2) వెనుతిరిగారు.",neg,no,no,no
ఇక వన్డే ఫార్మాట్‌లో కూడా అత్యధిక సిక్సర్లు సాధించిన జట్టుగా ఇంగ్లండ్‌ కొత్త అధ్యాయాన్ని లిఖించింది.,pos,no,no,no
మరొకవైపు ఇంగ్లండ్‌ కెప్టెన్‌ ఇయాన్‌ మోర్గాన్‌ 57 బంతుల్లో సెంచరీ సాధించడం ద్వారా వరల్ద్‌కప్‌ చరిత్రలో ఫాస్టెస్ట్‌ సెంచరీ సాధించిన నాలుగో ఆటగాడిగా నిలిచాడు.,pos,no,no,no
అత్యంత చెత్త రికార్డ.,neg,sad,yes,no
ప్రపంచ అత్యుత్తమ స్పిన్నర్లలో ఆఫ్ఘనిస్థాన్‌ యువ సంచలనం రషీద్‌ ఖాన్‌ ఒకడు.,pos,no,no,no
అయితే ఎవ్వరూ ఉహించని చెత్త రికార్డును రషీద్‌ ఖాన్‌ మూటగట్టుకున్నాడు.,neg,sad,yes,no
వన్డే వరల్డ్‌కప్‌లో భాగంగా మంగళవారం ఇంగ్లండ్‌తో జరుగుతున్న మ్యాచ్‌లో రషీద్‌ ఖాన్‌ చెత్త గణాంకాలు నమోదు చేశాడు.,neg,sad,yes,no
తద్వారా వరల్డ్‌కప్‌ చరిత్రలో అత్యధిక పరుగులు ఇచ్చిన బౌలర్‌గా రషీద్‌ నిలిచాడు.,neg,no,no,no
మరొ కవైపు వన్డే క్రికెట్‌లో అత్యధిక పరుగులు సమ ర్పించుకున్న అఫ్గాన్‌ బౌలర్‌ చెత్త రికార్డును సొంతం చేసుకున్నాడు.,neg,sad,no,no
"వెస్టిండీస్‌తో రెండు టెస్టు మ్యాచ్‌ల సిరీస్‌ను 2-0తో ఆతిథ్య టీమిండియా కైవసం చేసుకున్న నేపథ్యంలో భారత యువ ఆటగాళ్లు పృథ్వీ షా, రిషబ్‌ పంత్‌లు టెస్టుల్లో తమ తమ ర్యాంకులను మరింతగా మెరుగు పరచుకున్నారు.",pos,no,no,no
ఐసీసీ తాజాగా సోమవారం ప్రకటించిన టెస్టు ర్యాంకింగ్స్‌లో వీరిద్దరూ పది స్థానాలకు పైగా ఎగబాకారు.,pos,no,no,no
మరోవైపు టీమిండియా కెప్టెన్‌ విరాట్‌ కోహ్లి తన అగ్రస్థానాన్ని పదిలం చేసుకున్నాడు.,pos,no,no,no
విండీస్‌తో జరిగిన రెండు టెస్టుల్లో 90కిపైగా పరుగులు చేసిన యువ వికెట్‌ కీపర్‌ రిషబ్‌ పంత్‌ ఏకంగా 23 స్థానాలు ఎగబాకి 62వ ర్యాంకులో నిలిచాడు.,pos,no,no,no
"ఇక, హైదరాబాద్‌ టెస్ట్‌ తొలి ఇన్నింగ్స్‌లో 80 పరుగులు చేసిన రహానే నాలుగు స్థానాలు ఎగబాకి 18వ ర్యాంకు సాధించాడు.",pos,no,no,no
రెండో టెస్టులో రెండు ఇన్నింగ్స్‌లు కలిపి పది వికెట్లు తీసి ఉమేశ్‌ యాదవ్‌ జట్టు విజయంలో కీలకపాత్ర పోషించాడు.,pos,happy,no,no
ఇప్పటివరకూ భారత్‌ తరపున ఏడుగురు మాత్రమే ఈ ఘనత సాధించారు.,pos,happy,no,no
హైదరాబాద్‌ టెస్ట్‌ తొలి ఇన్నింగ్స్‌లో ఆరు వికెట్లు తీసిన ఉమేశ్‌ రెండో ఇన్నింగ్స్‌లో నాలుగు వికెట్లతో వెస్టిండీస్‌ టాపార్డర్‌ను కుప్పకూల్చాడు.,neg,sad,no,no
ఐపీఎల్‌ ఆత్మవిశ్వాసం పెంచింది : రాహుల్‌.,pos,happy,no,no
తన ఆటతీరుపై రాహుల్‌ స్పందిస్తూ ‘ప్రపంచ కప్‌ మెగాటోర్నీలో ఆడుతున్నందుకు సంతోషంగా ఉంది.,pos,happy,no,no
ఈ స్థాయిలో ఆడే ఏ ఆటగాడికయినా కాస్త ఒత్తిడి ఉంటుంది.,neg,no,no,no
కానీ నా జీవితంలో కొన్ని చేదు జ్ఞాపకాలు(కరణ్‌ జోహార్‌ షోను ఉద్దేశించి) ఉన్నాయి.,neg,sad,no,no
నాలో ఆత్మవిశ్వాసాన్ని పెంచింది.,pos,no,no,no
భారత్‌ హ్యాట్రిక్‌.,pos,happy,no,no
ఏప్రిల్‌ 1వ తేదీ నాటికి 116 పాయింట్లతో భారత క్రికెట్‌ జట్టు మొదటి స్థానంలో నిలువడంతో వరుసగా మూడో ఏడాది మిలియన్‌ డాలర్ల ప్రైజ్‌మనీని సొంతం చేసుకుంది.,pos,no,no,no
టెస్టు చాంపియన్‌షిప్‌ అందుకోవడం భారత్‌కు వరసగా ఇది మూడోసారి కావడం విశేషం.,pos,no,no,no
ఇటీవల ఆస్ట్రేలియాతో జరిగిన టెస్టు సిరీస్‌ను క్లీన్‌స్వీప్‌ చేయడం భారత్‌ అగ్ర స్థానంలో ముఖ్య పాత్ర పోషించింది.,pos,no,no,no
తమ జట్టు ఐసీసీ టెస్ట్‌ ర్యాంకింగ్స్‌లో రెండో స్థానంలో నిలవడం నిజంగా అద్భుతమని విలియమ్సన్‌ ఆనందం వ్యక్తం చేశాడు.,pos,happy,no,no
ఈ సందర్భంగా టీమిండియా కెప్టెన్‌ విరాట్‌ కోహ్లి సంతోషం వ్యక్తం చేస్తూ ‘మరోసారి ఐసీసీ టెస్టు ఛాంపియన్‌షిప్‌ను సొంతం చేసుకోవడం ఎంతో గర్వంగా ఉంది.,pos,happy,no,no
"కాగా, రెండేళ్లుగా రెండో స్థానంలో కొనసాగిన దక్షిణాఫ్రికా జట్టు ఈసారి 105 పాయింట్లతో మూడో స్థానానికి పడిపోయింది.",neg,sad,no,no
ఈ సందర్భంగా ఐసీసీ చీఫ్‌ ఎగ్జిక్యూటివ్‌ మను టీమిండియాను అభినందించారు.,pos,happy,no,no
యు-16 ఓడినా.. ప్రేక్షకాభినందన.,pos,happy,no,no
మ్యాచ్‌ చివరి దాకా గోల్‌ కోసం విశ్వ ప్రయత్నం చేసినా భారత్‌ గోల్‌ చేయలేకపోయింది.,neg,no,no,no
గతంలో కూడా కొరియాపైనే ఇదే స్టేడియంలో ఓడిపోయింది.,neg,sad,no,no
నెహ్రాపై అభిమానుల ఫైర్‌.,neg,sad,yes,no
ముంబై : ఇప్పటికే వరుస ఓటములతో ఆత్మవి శ్వాసం సన్నగిల్లిన రాయల్‌ ఛాలెంజర్స్‌ జట్టుకు మరో ఓటమి ఎదురైంది.,neg,sad,no,no
దీంతో ఆ జట్టు ప్లేఆఫ్‌ అవకాశాలు దాదాపు దూరమయ్యాయి.,neg,sad,no,no
ఆర్సీబీ ఆడిన ఎనిమిది మ్యాచుల్లో ఏడు ఓడింది.,neg,sad,no,no
బెంగళూరు అభిమానులకు గత మ్యాచులో గెలుపు కాస్త ఊరటనిచ్చినా.,pos,no,no,no
మళ్లీ ఓటమి నిరాశ మిగిల్చింది.,neg,sad,no,no
అయితే ఈ మ్యాచులో గెలవాల్సిన సమయంలో తప్పుడు నిర్ణయంతో ఓడిపోవాల్సి వచ్చింది.,neg,sad,no,no
దీంతో ఆ జట్టు బౌలింగ్‌ కోచ్‌ ఆశిష్‌ నెహ్రాపై బెంగళూరు అభిమానులు మండిపడుతున్నారు.,neg,angry,no,no
సోషల్‌ మీడియా వేదికగా చివాట్లు పెడుతున్నారు.,neg,no,yes,no
టాపర్‌ను కూడా ఫెయిల్‌ చేస్తాడు.,neg,sad,no,no
ఆశిష్‌ నిర్ణయంపై అభిమానులు మండిపడుతున్నారు.,neg,angry,no,no
"క్రీజులో పాండ్య, పొలార్డ్‌ వంటి పవర్‌ హిట్టర్లు ఉన్నప్పుడు స్పిన్నర్లకు బౌలింగ్‌ ఎలా ఇస్తారని ప్రశ్నిస్తున్నారు.",neg,no,no,no
140 కి మీ వేగంతో బౌలింగ్‌ వేసే నవదీప్‌ సైనీకి బౌలింగ్‌ ఇచ్చి ఉంటే బ్యాట్స్‌మెన్‌ కొంత ఇబ్బంది పడేవారని అంటున్నారు.,neg,sad,no,no
ఈ మ్యాచ్‌లో బెంగళూరు ఓడిపోవడానికి ప్రధాన కారణం ఆశిష్‌ నెహ్రానే అంటున్నారు.,neg,sad,no,no
ఆర్సీబీ గెలవాల్సిన మ్యాచ్‌లో ఓడిపోవడంతో తట్టుకోలేని అభిమానులు సోషల్‌ మీడియాలో నెహ్రాపై వ్యంగ్యాస్త్రాలు విసురుతున్నారు.,neg,sad,no,no
ఆశిష్‌ నెహ్రా తలుచుకుంటే స్టేట్‌ ఫస్ట్‌ ర్యాంక్‌ విద్యార్థిని కూడా యూనిట్‌ టెస్టులోనే ఫెయిల్‌ చేయగలడంటూ తమ అసహనాన్ని వ్యక్తం చేస్తున్నారు.,neg,no,no,no
టీ20 వరల్డ్‌కప్‌ కెప్టెన్‌గా హర్మన్‌.,pos,happy,no,no
లండన్‌లోనూ ధోనీ ఫీవర్‌.,neg,sad,no,no
ధోనీని బౌండరీ లైన్‌ దగ్గర చూడగానే స్టేడియంలో ఉన్న కొందరు లేచి ‘ధోనీ ధోనీ ’ కేరింతలు కొట్టారు.,pos,no,no,no
ఆంగ్ల గడ్డ మీద కూడా ధోనీ క్రేజ్‌ ఏమాత్రం తగ్గలేదంటూ నెటిజన్లు కామెంట్లు పెడుతున్నారు.,pos,no,no,no
కివీస్‌తో జరిగిన వార్మప్‌ మ్యాచ్‌లో టీమిండియా తడబడింది.,neg,sad,no,no
"టాప్‌, మిడిలార్డర్‌ బ్యాట్స్‌మెన్‌ కుదేలవడంతో 179 పరుగులకే కుప్పకూలింది.",neg,sad,no,no
తర్వాత టీమిండియా కట్టుదిట్టంగా బౌలింగ్‌ చేసినప్పటికీ కివీస్‌ను నిలువరించలేకపోయింది.,neg,sad,no,no
ప్రపంచకప్‌ ముందు టీమిండియాకు కివీస్‌ ఓ హెచ్చరిక పంపినట్లైంది.,neg,angry,no,no
"ఆరుసార్లు సెమీస్‌, ఒకసారి ఫైనల్‌ చేరినా ప్రపంచకప్‌ను మాత్రం అందుకోలేకపోయింది.",neg,sad,no,no
అశ్వినీ నాచప్ప కోచ్‌ కన్నుమూత.,neg,sad,no,no
"బెంగళూరు : సీనియర్‌ అథ్లెటిక్స్‌ కోచ్‌, ప్రతిష్ఠాత్మక ద్రోణాచార్య అవార్డు గ్రహీత ఎన్‌ లింగప్ప (95) కన్నుమూశారు.",neg,sad,no,no
బెంగళూరులోని తన నివాసంలో ఆయన మంగళవారం మధ్యాహ్నం తుదిశ్వాస విడిచారు.,neg,sad,no,no
